col,win,n_a,n_b,n_bal,n_drop,n_add,drop_pop_share,add_pop_share,biggest_drop,d_unbal,d_bal,disc,retained_a,dropped_a,keep_col
fin38_39c,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.1096049785014972,-0.1580701668926764,0.04846518839117919,0.8719662893142925,0.7216872476128927,False
fin38_39d,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.16918915870512716,-0.16918915870512716,0.0,0.4054392252611709,,False
fin38_39d,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.07982953310165322,-0.06753894243150282,-0.012290590670150398,0.22395947588589332,0.2620696792951204,False
fin42,2014-2017,77,77,77,0,0,0.0,0.0,-,-9.82538491284059,-9.82538491284059,0.0,24.55405851543143,,True
fin42,2017-2021,77,77,77,0,0,0.0,0.0,-,-3.9177827293728242,-3.9177827293728242,0.0,14.728673602590838,,True
fin42,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),2.599094374576975,0.25587272419542373,2.343221650381551,13.154112523599565,5.88833855670416,True
fin43a,2014-2017,77,77,77,0,0,0.0,0.0,-,0.38708139239378303,0.38708139239378303,0.0,1.7388514767262881,,False
fin43a,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.06193788007754231,-0.06193788007754231,0.0,2.125932869120071,,False
fin43a,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),0.8623083456512002,0.9089050184908483,-0.04659667283964808,2.017398316202881,2.1618835348364325,False
fin43b,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.16139788309933556,-0.16139788309933556,0.0,1.0118688840603942,,False
fin43b,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),1.3171934700741006,0.9779081135103938,0.33928535656370684,1.1897563575247654,0.13771302621293793,False
fin43c,2014-2017,77,77,77,0,0,0.0,0.0,-,-10.817548519242557,-10.817548519242557,0.0,21.542520040939603,,True
fin43c,2017-2021,77,77,77,0,0,0.0,0.0,-,-4.117199730955836,-4.117199730955836,0.0,10.724971521697046,,True
fin43c,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),2.196147265767813,-0.31048483786575076,2.5066321036335637,9.114403894374774,1.341932911871079,True
fin43c_s,2014-2017,52,37,37,15,0,35.69983189565086,0.0,India (28.4%),-10.661804552521943,-15.893214066332035,5.2314095138100924,92.52713697860626,77.87325981441883,False
fin43d,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.11175556591134084,-0.11175556591134084,0.0,0.1883217568278702,,False
fin43d,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.034694188254250385,-0.012374077498484612,-0.022320110755765774,0.054246080160763585,0.1234554439616905,False
fing2p_acc,2017-2021,77,77,77,0,0,0.0,0.0,-,2.1625756925304405,2.1625756925304405,0.0,12.76361051816316,,False
fing2p_acc,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),2.093475910853904,2.9929812986713493,-0.8995053878174453,14.026680822876155,16.8158334533249,False
g20_any,2014-2017,77,77,77,0,0,0.0,0.0,-,10.23553621968015,10.23553621968015,0.0,35.11979943923096,,True
g20_any,2017-2021,77,77,77,0,0,0.0,0.0,-,11.024737125181872,11.024737125181872,0.0,45.35533565891111,,True
g20_any,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),4.516286083945367,5.386748064321324,-0.870461980375957,55.509610803717024,87.4150459,True
inactive_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,4.025307494721227,4.025307494721227,0.0,7.025992280521624,,False
inactive_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,-2.1667616843343893,-2.1667616843343893,0.0,11.051299775242851,,False
inactive_t_d,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),-2.7364989060853375,-2.9501075635204934,0.2136086574351559,9.098146748343618,1.2686524,False
merchant_pay,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),2.8131114277745937,3.7789375784183576,-0.965826150643764,35.64613151081732,71.04699249999999,True
mobileaccount_t_d,2014-2017,57,59,54,3,5,1.0788562864789544,1.6256175286898722,Nepal (0.7%),4.168478828354637,4.204529146732937,-0.036050318378300084,3.9710994169831855,0.3242665011118253,True
mobileaccount_t_d,2017-2021,59,61,57,2,4,0.5180327398458092,4.8535590262324,Ecuador (0.4%),10.027717784982382,9.52710054165126,0.5006172433311225,8.127602851788202,2.8444053788274513,True
mobileaccount_t_d,2021-2024,61,62,59,2,3,0.18005042432458357,0.9871425113174076,Georgia (0.1%),9.781491151141555,9.779853068571104,0.0016380825704516155,18.14417423695772,9.134313322365479,True
save_any_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,-9.572863221326806,-9.572863221326806,0.0,53.128920110118315,,True
save_any_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,-1.1562974095637273,-1.1562974095637273,0.0,43.55605688879151,,True
save_any_t_d,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),10.605744683322769,10.463264460224956,0.14248022309781305,42.542239702325595,37.3198479,True
